NoteOn Events (time_stamp, midi_note, velocity):
13.9915573188,60,0
14.0405438167,42,0
14.0743276083,41,0
14.0743276083,60,0
14.1537195188,65,0
14.1570978979,72,0
14.1604762771,67,0
14.1841249313,65,0
14.2770303583,67,0
14.3243276667,36,0
14.3783817333,42,0
14.4797331083,64,0
14.5118277104,69,0
14.5557466396,53,0
14.5557466396,41,0
14.5692601563,42,0
14.6418953083,36,0
14.6807466688,64,0
14.7297331667,72,0
14.7753412854,67,0
14.898652125,42,0
14.9358142958,64,0
14.9459494333,67,0
15.1452738042,67,0
15.1486521833,64,0
15.1537197521,72,0
15.2601386958,67,0
15.3581116917,40,0
15.3750035875,60,0
15.3986522417,42,0
15.4239900854,64,0
15.4408819813,72,0
15.4442603604,67,0
15.6655441958,72,0
15.6942604188,36,0
15.7483144854,42,0
15.7871658458,64,0
15.8141928792,67,0
15.8277063958,72,0
15.8327739646,72,0
15.8344631542,64,0
15.9189226333,36,0
15.9189226333,48,0
15.9189226333,71,0
15.9273685813,42,0
16.0473010417,36,0
16.0793956438,65,0
16.1098010563,67,0
16.1199361938,72,0
16.2550713604,69,0
16.2854767729,42,0
16.3091254271,65,0
16.3158821854,67,0
16.3192605646,72,0
16.4206119396,72,0
16.4577741104,65,0
16.4577741104,67,0
16.4679092479,67,0
16.5253416938,65,0
16.5320984521,72,0
16.5354768313,67,0
16.7195984958,42,0
16.7584498563,40,0
16.7702741833,60,0
16.8631796104,41,0
16.8868282646,65,0
16.90540935,72,0
16.9391931417,72,0
16.9459499,67,0
16.9797336917,65,0
17.0658823604,79,0
17.0945985833,36,0
17.1300715646,42,0
17.2179094229,72,0
17.2432472667,69,0
17.2483148354,67,0
17.2685851104,77,0
17.3175716083,67,0
17.3783824333,53,0
17.3783824333,41,0
17.3783824333,42,0
17.4848013771,64,0
17.4848013771,36,0
17.5523689604,72,0
17.6165581646,67,0
17.6334500604,64,0
17.6520311458,67,0
17.7652068479,42,0
17.9020312042,76,0
17.9712879771,72,0
17.9763555458,67,0
18.1047339542,48,0
18.1638555896,42,0
18.2043961396,40,0
18.2212880354,60,0
18.2989907563,72,0
18.3665583396,67,0
18.5101394542,76,0
18.5101394542,50,0
18.5219637813,64,0
18.5337881083,36,0
18.5743286583,42,0
18.7077746354,72,0
18.7668962708,67,0
18.8581125083,52,0
18.8581125083,36,0
18.8581125083,79,0
18.8733152146,42,0
18.9780449688,65,0
18.9848017271,36,0
19.0287206563,72,0
19.0591260688,67,0
19.1064233771,72,0
19.1537206854,67,0
19.1875044771,65,0
19.195950425,77,0
19.2652071979,42,0
19.398653175,76,0
19.4864910333,67,0
19.5033829292,72,0
19.6959505417,40,0
19.6993289208,60,0
19.7246667646,42,0
19.8496667937,72,0
19.9070992396,67,0
19.9611533063,65,0
20.006761425,41,0
20.0320992688,72,0
20.0337884583,36,0
20.0844641458,42,0
20.1723020042,67,0
20.2956128438,67,0
20.412166925,53,0
20.412166925,74,0
20.412166925,41,0
20.5033831625,42,0
20.5506804708,64,0
20.6199372438,36,0
20.6891940167,67,0
20.6891940167,72,0
20.817572425,76,0
20.8750048708,67,0
20.8868291979,72,0
20.8918967667,42,0
21.020275175,74,0
21.0844643792,72,0
21.0945995167,72,0
21.0996670854,67,0
21.1655454792,67,0
21.1706130479,48,0
21.1706130479,36,0
21.2685860438,40,0
21.3158833521,42,0
21.3750049875,72,0
21.4915590687,67,0
21.52703205,72,0
21.5641942208,36,0
21.6131807188,42,0
21.7449375063,64,0
21.7685861604,64,0
21.7837888667,72,0
21.7854780563,69,0
21.8158834688,67,0
21.8851402417,50,0
21.8851402417,45,0
21.8851402417,76,0
21.9087888958,42,0
22.0202754083,36,0
22.3091268271,42,0
22.3445998083,65,0
22.5473025583,69,0
22.7331134125,40,0
22.7770323417,42,0
22.8057485646,69,0
22.8091269438,74,0
